id,en,tr
KEY_PLAY,"Play","Oyna"
KEY_SETTINGS,"Settings","Ayarlar"
KEY_BULLET_STANDART,"Standard Bullet","Standart Mermi"
KEY_BULLET_EXPLOSIVE,"Explosive Bullet","Patlayıcı Mermi"
KEY_GAME_OVER,"Game Over!","Oyun Bitti!"
KEY_NO_FUEL,"No Fuel","Yakıt Yok"
KEY_FUEL_DEPLETED,"Fuel Depleted","Yakıt Tükendi"
KEY_INSUFFICIENT_FUEL,"Insufficient Fuel","Yeterli Yakıt Yok"
KEY_INSUFFICIENT_FUEL_MAP,"Insufficient Fuel","Yetersiz Yakıt"
KEY_GAME_START,"Game Started","Oyun Başladı"
KEY_GAME_RESET,"Game Reset","Oyun Sıfırlandı"
KEY_TUTOR_RESET,"Tutorial Reset","Öğretici Sıfırlandı"
KEY_TUTOR_MAP,"You can travel between asteroids, sell what you have earned at the market, and purchase new materials. When there are no places left to go, you can travel to a different galaxy. Tap an asteroid to view its details. Double-tap to quickly access the market.","Göktaşları arasında seyahat edebilir ve markette kazandıklarını satıp yeni malzemeler alabilirsin. Gidecek yer kalmadığında farklı bir galaksiye geçiş yapabilirsin. Göktaşı ile ilgili bilgi almak için üzerine tıkla. Markete hızlı erişim için üzerine çift tıkla."
KEY_TUTOR_SETTINGS,"If you are stranded in deep space, you can reset your data, re-enable the tutorial, and switch the language to Turkish.","Uzay boşluğunda sıkıştıysan veriyi sıfırlayabilir, öğreticiyi yeniden aktif edebilir ve Türkçe dil seçeneğini aktif edebilirsin."
KEY_TUTOR_INGAME,"Break the asteroid with your ammo and gather minerals. Swipe up and release on an empty area to open the ammo menu. Tap your spaceship to access your inventory, and tap the asteroid to see how many minerals remain.","Göktaşını mermilerinle parçala ve madenleri topla. Boş bir alanda parmağını yukarı kaydırıp bırakarak mermi menüsüne erişebilirsin. Uzay gemine tıklayarak çantana erişebilir ve göktaşına tıklayarak ne kadar maden kaldığını öğrenebilirsin."
KEY_TUTOR_MAINMENU,"Begin your journey, adjust settings, or inspect your fleet before setting off into the void.","Yolculuğuna başla, ayarları düzenle veya uzay boşluğuna açılmadan önce filonu gözden geçir."
KEY_TUTOR_MARKET,"Buy and sell items here. You can also purchase upgrades for your ship and acquire new extractors.","Burada eşya alıp satabilirsin. Ayrıca gemin için bazı geliştirmeler ve yeni üreticiler alabilirsin."
KEY_TUTOR_INVENTORY,"This displays the items stored in your spaceship. Depending on the selected item, various actions are available.","Burada geminde bulunan eşyalar gösterilir. Seçilen eşyaya bağlı olarak çeşitli seçenekler bulabilirsin."
KEY_SAFE_AREA_ENABLED,"Safe Area Enabled","Guvenli alan etkinlestirildi."
KEY_NO_ORE_LEFT,"No Ore Left","Maden Kalmadı"
KEY_ORE_REMAINING,"Ore Remaining","Maden Kaldı"
KEY_NO_AMMO,"No Ammo","Mermi Kalmadı"
KEY_DETECTOR_NOT_FOUND,"Detector Not Found","Dedektör bulunamadı"
KEY_DETECTOR_ACTIVE,"Ore Detector Active","Maden Dedektörü Aktif"
KEY_DETECTOR_INACTIVE,"Ore Detector Inactive","Maden Dedektörü Pasif"
KEY_SUPPLIER_ACTIVE,"Supplier Active","Üretici aktif"
KEY_SUPPLIER_INACTIVE,"Supplier Inactive","Üretici Pasif"
KEY_INSUFFICIENT_MATERIALS,"Insufficient Materials","Yeteri kadar malzeme yok."
KEY_MATERIALS_DEPLETED,"Materials Depleted","Hammadde Tükendi"
KEY_NO_MONEY,"No Money","Para Bitti"
KEY_INSUFFICIENT_ITEMS,"Insufficient Items","Yeteri Kadar Eşya Yok"
KEY_CAN_HAVE,"Can Have","Sahip Olabilirsin"
KEY_STORE_ACCESSIBLE,"Store Accessible","Markete Erişilebilir."
KEY_CONSOLE_INVALID_CMD,"Invalid Command","En son girilen komut yok veya gecersiz."
KEY_RETURN_MENU,"Return to Menu","Menüye Dön"
KEY_RESET_DATA,"Reset Data","Veriyi Sıfırla"
KEY_RESET_TUTOR,"Reset Tutorial","Öğreticiyi Sıfırla"
KEY_CHANGE_GALAXY_CONFIRM,"Do you want to go to another galaxy?","Başka bir galaksiye gitmek istiyor musun?"
KEY_OWE_GALAXY,"Game Over","Oyun Bitti"
KEY_SETTINGS_TITLE,"Settings","Ayarlar"
KEY_EDGE_MIC,"Edge Mic.","Kenar Mik."
KEY_MAP,"Map","Harita"
KEY_FUEL_LABEL,"Fuel: ","Yakıt : "
KEY_DISTANCE,"Distance","Mesafe"
KEY_ORE_LABEL,"Ore:","Maden :"
KEY_DIAMETER_LABEL,"Diameter: ","Çap : "
KEY_DISTANCE_LABEL,"Distance:","Mesafe:"
KEY_MONEY_LABEL,"Money: ","Para : "
KEY_VALUE_LABEL,"Value: ","Değer : "
KEY_INVENTORY_TITLE,"Inventory","Envanter"
KEY_100X,"100x","100x"
KEY_50X,"50x","50x"
KEY_10X,"10x","10x"
KEY_1X,"1x","1x"
KEY_MENU,"Menu","Menu"
KEY_GENERAL_TITLE,"General Title","Genel Başlık"
KEY_FUEL,"Fuel","Yakıt"
KEY_FUEL_ADVANCED,"Ship Fuel","Gemi yakıtı."
KEY_BULLET,"Bullet","Mermi"
KEY_BULLET_SIMPLE,"Simple Bullet","Basit Mermi"
KEY_BULLET_SIMPLE_DESC,"Simple bullet. Can't do much more than explode ore.","Basit mermi. Maden patlatmaktan fazlasını yapamaz."
KEY_BULLET_HE_DESC,"Bullet with high explosive power.","Yüksek infilak gücüne sahip mermi."
KEY_DETECTOR_ORE,"Ore Detector","Maden Dedektörü"
KEY_DETECTOR_ORE_DESC,"A device that detects ores inside the Celestial Rock using beams.","Gök Taşı içindeki madenleri ışın kullanarak algılayan bir cihaz."
KEY_ORE,"Ore","Maden"
KEY_ORE_DESC,"Ore.","Maden."
KEY_ORE_BLUE,"Blue Ore","Mavi Maden"
KEY_ORE_BLUE_DESC,"Ore used in standard fuel production.","Standart yakıt üretiminde kullanılan maden."
KEY_ORE_COPPER,"Copper Ore","Bakır Cevheri"
KEY_ORE_COPPER_DESC,"Copper ore.","Bakır cevheri."
KEY_ORE_IRON,"Iron Ore","Demir Cevheri"
KEY_ORE_IRON_DESC,"Iron ore.","Demir cevheri."
KEY_ORE_SILVER,"Silver Ore","Gümüş Cevheri"
KEY_ORE_SILVER_DESC,"Silver ore.","Gümüş cevheri."
KEY_ORE_GOLD,"Gold Ore","Altın Cevheri"
KEY_ORE_GOLD_DESC,"Gold ore.","Altın cevheri."
KEY_SUPPLIER_FUEL,"Fuel Supplier","Yakıt Üretici"
KEY_SUPPLIER_FUEL_DESC,"Produces fuel from blue ore.","Mavi madenden yakıt üretir."
KEY_SUPPLIER_BULLET,"Bullet Supplier","Mermi Üretici"
KEY_SUPPLIER_BULLET_DESC,"Produces standard bullets from copper.","Bakırdan standart mermi üretir."
KEY_FUEL_STANDARD_DESC,"Standard fuel.","Sıradan yakıt."
KEY_BULLET_STANDARD_DESC,"A standard bullet.","Sıradan bir mermi."
KEY_MARKET_IS_REACHABLE, "Market is reachable.", "Markete erişilebilir."
